0,why is brazil so violent,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.555, 'neu': 0.445, 'pos': 0.0, 'compound': -0.7177}
11,why is brazil spelt with an s,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why is brazil spelled with an s,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why is brazil so good at football,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
14,why is brazil an emerging market economy,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why is brazil poor,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
16,why is brazil portuguese and not spanish,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why is brazil important,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}
18,why is brazil sometimes spelled with an s,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,why is brazil hosting the world cup,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why brazil is so expensive,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why brazil is famous,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why brazil is the best country,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}
3,why brazil is dangerous,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
4,why brazil is so big,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why brazil is a developing country,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why brazil is awesome,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}
7,why brazil is so good at football,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
8,why brazil is the best soccer team,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}
9,why brazil is poor,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
10,why brazil is so poor,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
11,why brazil is good at soccer,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
12,why brazil is an emerging market,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why brazil is so violent,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.555, 'neu': 0.445, 'pos': 0.0, 'compound': -0.7177}
14,why brazil is bad,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.5423}
15,why brazil is better than argentina,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
16,why brazil is a good place to visit,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}
17,why brazil is not in euro 2012,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why brazil is so dangerous,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
19,why brazil is better than america,2016-04-27 21:42:57,brazil why is ,com.py,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
0,brazil carnival why is it celebrated,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}
1,why brazil is so expensive,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why brazil is famous,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why brazil is the best country,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}
4,why brazil is dangerous,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
5,why brazil is so big,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why brazil is a developing country,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why brazil is awesome,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}
8,why brazil is so good at football,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
9,why brazil is the best soccer team,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}
10,why brazil is poor,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
11,why brazil is so poor,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
12,why brazil is good at soccer,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
13,why brazil is an emerging market,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why brazil is so violent,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.555, 'neu': 0.445, 'pos': 0.0, 'compound': -0.7177}
15,why brazil is bad,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.5423}
16,why brazil is better than argentina,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
17,why brazil is a good place to visit,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}
18,why brazil is not in euro 2012,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,why brazil is so dangerous,2016-04-27 21:42:58,brazil is why ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
