0,why are brazilian cities growing so rapidly,2016-04-27 21:47:00,why are brazilian cities ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,brazilian cities,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,brazilian cities by population,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,brazilian cities hosting world cup,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,brazilian cities map,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,brazilian cities names,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,brazilian cities and towns,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,brazilian cities world cup 2014,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,brazilian cities to visit,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,brazilian cities list,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,brazilian cities for world cup,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,brazilian cities by size,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,brazilian cities by gdp,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,brazilian cities alphabetical order,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,brazilian cities and states,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,brazilian cities near the amazon rainforest,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.1779}
15,brazilian cities starting with s,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,brazilian cities wiki,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,brazilian cities in the amazon,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.1779}
18,brazilian cities wikipedia,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,brazilian cities gdp per capita,2016-04-27 21:47:02,brazilian why are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,brazilian cities,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,brazilian cities by population,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,brazilian cities hosting world cup,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,brazilian cities map,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,brazilian cities names,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,brazilian cities and towns,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,brazilian cities world cup 2014,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,brazilian cities to visit,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,brazilian cities list,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,brazilian cities for world cup,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,brazilian cities by size,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,brazilian cities by gdp,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,brazilian cities alphabetical order,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,brazilian cities and states,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,brazilian cities near the amazon rainforest,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.1779}
15,brazilian cities starting with s,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,brazilian cities wiki,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,brazilian cities in the amazon,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.1779}
18,brazilian cities wikipedia,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,brazilian cities gdp per capita,2016-04-27 21:47:02,brazilian are why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:02,brazilian are cities why ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:02,brazilian cities why are ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:02,brazilian cities are why ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,brazilian rosewood cites,2016-04-27 21:47:02,cities why are brazilian ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are brazilian cities growing so rapidly,2016-04-27 21:47:02,cities why are brazilian ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:03,cities why brazilian are ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,brazilian rosewood cites,2016-04-27 21:47:03,cities are why brazilian ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are brazilian cities growing so rapidly,2016-04-27 21:47:03,cities are why brazilian ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:03,cities are brazilian why ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:03,cities brazilian why are ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
