0,why are indian elephants endangered,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why are indian trains so crowded,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why are indian names so weird,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.3052}
16,why are indian doctors so rude,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
17,why are indian guys so weird,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.3052}
18,why are indian parents so abusive,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.518, 'neu': 0.482, 'pos': 0.0, 'compound': -0.7481}
19,why are indian elephants decorated,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian are rude,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
1,why indian are intelligent,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}
2,why indian are smart,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}
3,why indian are black,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why indian are so good in maths,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
5,why indian are good programmers,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}
6,why indian are short in height,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why indian are vegetarian,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why indian are so smart,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.541}
9,why indian are so rude,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.491, 'neu': 0.509, 'pos': 0.0, 'compound': -0.5949}
10,why indian are short,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why indian are so fool,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.5777}
12,why indian are so beautiful,2016-04-27 21:43:31,why indian are ,com.br,en,google, {'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7177}
0,why are indian parents so strict,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian gods blue,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian guys unattractive,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}
3,why are indian vegetarian,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian elephants endangered,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are indian wedding dresses red,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are indian names so long,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are indian guys so handsome,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.6269}
8,why are indian parents so mean,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are indian parents so controlling,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are indian burial grounds haunted,2016-04-27 21:43:32,are why indian ,com.br,en,google, {'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}
0,why are indian parents so strict,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian gods blue,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian guys unattractive,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}
3,why are indian vegetarian,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian elephants endangered,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are indian wedding dresses red,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are indian names so long,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are indian guys so handsome,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.6269}
8,why are indian parents so mean,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are indian parents so controlling,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are indian burial grounds haunted,2016-04-27 21:43:32,are indian why ,com.br,en,google, {'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}
0,why indian are so rude,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.491, 'neu': 0.509, 'pos': 0.0, 'compound': -0.5949}
1,why indian are so smart,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.541}
2,why indian are vegetarian,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why indian are good programmers,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}
4,why indian are rude,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
5,why indian are black,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why indian are smart,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}
7,why indian are so beautiful,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7177}
8,why indian are intelligent,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}
9,why indian are so good in maths,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
10,why indian are short,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why indian are so intelligent,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.5949}
12,why indian are rich,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}
13,why indian are not good in sports,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.3412}
14,why indian are white,2016-04-27 21:43:33,indian why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian are so rude,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.491, 'neu': 0.509, 'pos': 0.0, 'compound': -0.5949}
1,why indian are so smart,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.541}
2,why indian are vegetarian,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why indian are good programmers,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}
4,why indian are rude,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
5,why indian are black,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why indian are smart,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}
7,why indian are so beautiful,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7177}
8,why indian are intelligent,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}
9,why indian are so good in maths,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
10,why indian are short,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why indian are rich,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}
12,why indian are white,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why indian are dark,2016-04-27 21:43:33,indian are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
