0,why is india so poor,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
4,why india is called subcontinent,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why india is still developing country,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why india is not a developed country,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why india is better than pakistan,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
8,why india is so dirty,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.5777}
9,why india is not in fifa,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why india is so poor,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
11,why india is a developing country,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why india is called hindustan,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why india is better than china,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
14,why india is poor country,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}
15,why india is better than usa,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
16,why india is famous,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why india is incredible,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why india is great country,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}
19,why india is best country in the world,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}
0,india why is the cow sacred,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,india why is it poor,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}
2,india is great why,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}
3,india is republic why,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,india is best why,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}
5,india westbrooks why is she famous,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,india is developing country why,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,india is a subcontinent why,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,india is great country why,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}
9,india's daughter why is it banned,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.4588}
10,india is called subcontinent why,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why india is called bharat,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why india is still developing country,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why india is not a developed country,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why india is better than pakistan,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
15,why india is so dirty,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.5777}
16,why india is not in fifa,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why india is so poor,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
18,why india is called hindustan,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,why india is better than china,2016-04-27 21:43:00,india is why ,co.in,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
