0,why are indian cities unplanned,2016-04-27 21:47:13,why are indian cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,indian cities and states,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,indian cities name ending with ra,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,indian cities with 10 letters,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,indian cities name list,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,indian cities starting with na,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,indian cities population 2014,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,indian cities name puzzle,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,indian cities and states puzzle,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,indian cities temperature,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,indian cities and their nicknames,2016-04-27 21:47:14,indian are why cities ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are indian cities so unclean,2016-04-27 21:47:15,indian are cities why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why indian cities are not clean,2016-04-27 21:47:15,indian are cities why ,co.in,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
2,why are indian cities renamed,2016-04-27 21:47:15,indian are cities why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:15,indian cities why are ,co.in,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why are indian cities so unclean,2016-04-27 21:47:15,indian cities why are ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian cities renamed,2016-04-27 21:47:15,indian cities why are ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:15,indian cities are why ,co.in,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why are indian cities so unclean,2016-04-27 21:47:15,indian cities are why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,cities indian,2016-04-27 21:47:15,cities why are indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,cities indian names,2016-04-27 21:47:15,cities why are indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,cities indian river county fl,2016-04-27 21:47:15,cities why are indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are indian cities so unclean,2016-04-27 21:47:15,cities why are indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian cities renamed,2016-04-27 21:47:15,cities why are indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:15,cities why indian are ,co.in,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why are indian cities so unclean,2016-04-27 21:47:15,cities why indian are ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian cities renamed,2016-04-27 21:47:15,cities why indian are ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,cities indian,2016-04-27 21:47:15,cities are why indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,cities indian names,2016-04-27 21:47:15,cities are why indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,cities indian river county fl,2016-04-27 21:47:15,cities are why indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are indian cities so unclean,2016-04-27 21:47:15,cities are why indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian cities renamed,2016-04-27 21:47:15,cities are why indian ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are indian cities so unclean,2016-04-27 21:47:15,cities are indian why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why indian cities are not clean,2016-04-27 21:47:15,cities are indian why ,co.in,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
2,why are indian cities renamed,2016-04-27 21:47:15,cities are indian why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:16,cities indian why are ,co.in,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why are indian cities so unclean,2016-04-27 21:47:16,cities indian why are ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian cities renamed,2016-04-27 21:47:16,cities indian why are ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:16,cities indian are why ,co.in,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
