0,why are indian cities so polluted,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian cities so unclean,2016-04-27 21:47:23,are why cities indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian cities renamed,2016-04-27 21:47:23,are why cities indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why indian cities are not clean,2016-04-27 21:47:23,are why cities indian ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
0,why are indian cities so unclean,2016-04-27 21:47:23,are indian why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian cities renamed,2016-04-27 21:47:23,are indian why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why indian cities are not clean,2016-04-27 21:47:23,are indian why cities ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
0,why are indian cities renamed,2016-04-27 21:47:23,are indian cities why ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:23,are cities why indian ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
0,why are indian cities renamed,2016-04-27 21:47:24,are cities indian why ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why indian cities renamed,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why indian cities change name,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,indian cities,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,indian cities by population,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,indian cities name,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,indian cities list,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,indian cities ending with ra,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,india map with cities,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,indian cities by gdp,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,indian cities with 11 letters,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,indian cities by area,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,indian cities ranking,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,indian cities and states,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,indian cities name ending with ra,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,indian cities with 10 letters,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,indian cities name list,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,indian cities starting with na,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,indian cities population 2014,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,indian cities name puzzle,2016-04-27 21:47:24,indian why are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:24,indian why cities are ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
0,indian cities,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,indian cities by population,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,indian cities name,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,indian cities list,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,indian cities ending with ra,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,india map with cities,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,indian cities by gdp,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,indian cities with 11 letters,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,indian cities by area,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,indian cities ranking,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,indian cities and states,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,indian cities name ending with ra,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,indian cities with 10 letters,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,indian cities name list,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,indian cities starting with na,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,indian cities population 2014,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,indian cities name puzzle,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,indian cities and states puzzle,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,indian cities temperature,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,indian cities and their nicknames,2016-04-27 21:47:24,indian are why cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are indian cities so unclean,2016-04-27 21:47:24,indian are cities why ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why indian cities are not clean,2016-04-27 21:47:24,indian are cities why ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
2,why are indian cities renamed,2016-04-27 21:47:24,indian are cities why ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:24,indian cities why are ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why are indian cities so unclean,2016-04-27 21:47:24,indian cities why are ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian cities renamed,2016-04-27 21:47:24,indian cities why are ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:24,indian cities are why ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why are indian cities so unclean,2016-04-27 21:47:24,indian cities are why ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,cities indian,2016-04-27 21:47:24,cities why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,cities indian names,2016-04-27 21:47:24,cities why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,cities indian river county fl,2016-04-27 21:47:24,cities why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are indian cities so unclean,2016-04-27 21:47:24,cities why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian cities renamed,2016-04-27 21:47:24,cities why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:24,cities why indian are ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why are indian cities so unclean,2016-04-27 21:47:24,cities why indian are ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian cities renamed,2016-04-27 21:47:24,cities why indian are ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,cities indian,2016-04-27 21:47:25,cities are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,cities indian names,2016-04-27 21:47:25,cities are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,cities indian river county fl,2016-04-27 21:47:25,cities are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are indian cities so unclean,2016-04-27 21:47:25,cities are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian cities renamed,2016-04-27 21:47:25,cities are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are indian cities so unclean,2016-04-27 21:47:25,cities are indian why ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why indian cities are not clean,2016-04-27 21:47:25,cities are indian why ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
2,why are indian cities renamed,2016-04-27 21:47:25,cities are indian why ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:25,cities indian why are ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why are indian cities so unclean,2016-04-27 21:47:25,cities indian why are ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian cities renamed,2016-04-27 21:47:25,cities indian why are ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:25,cities indian are why ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
